,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,44.08,43.77,-0.34000015,REGULAR,QQQ180727C00135000,USD,1532649600,1e-05,True,43.91,1532111888,3,-0.7683618999999999,135.0,call,4,3,2018-07-26 17:00:00
1,39.08,38.76,3.9300003,REGULAR,QQQ180727C00140000,USD,1532649600,1e-05,True,39.61,1532093598,5,11.014575,140.0,call,5,3,2018-07-26 17:00:00
2,30.59,30.26,0.0,REGULAR,QQQ180727C00148500,USD,1532649600,1e-05,True,31.6,1531921254,1,0.0,148.5,call,1,3,2018-07-26 17:00:00
3,29.09,28.76,0.0,REGULAR,QQQ180727C00150000,USD,1532649600,1e-05,True,29.57,1532022893,13,0.0,150.0,call,1,3,2018-07-26 17:00:00
4,24.1,23.8,-0.63000107,REGULAR,QQQ180727C00155000,USD,1532649600,1e-05,True,24.47,1532109945,280,-2.5099644999999997,155.0,call,10,3,2018-07-26 17:00:00
5,21.61,21.3,-0.1400013,REGULAR,QQQ180727C00157500,USD,1532649600,1e-05,True,21.65,1532113934,4,-0.6425025,157.5,call,1,3,2018-07-26 17:00:00
6,19.51,19.37,-0.13000107,REGULAR,QQQ180727C00160000,USD,1532649600,0.4023497265625,True,19.13,1532362369,45,-0.67497957,160.0,call,18,3,2018-07-26 17:00:00
7,17.13,16.82,0.0,REGULAR,QQQ180727C00162000,USD,1532649600,1e-05,True,17.3,1532144936,0,0.0,162.0,call,11,3,2018-07-26 17:00:00
8,16.63,16.28,0.0,REGULAR,QQQ180727C00162500,USD,1532649600,1e-05,True,16.75,1532008342,27,0.0,162.5,call,1,3,2018-07-26 17:00:00
9,15.51,15.37,1.7299995,REGULAR,QQQ180727C00164000,USD,1532649600,0.32422550781249904,True,14.78,1532356778,1,13.256701,164.0,call,3,3,2018-07-26 17:00:00
10,14.15,13.83,0.0,REGULAR,QQQ180727C00165000,USD,1532649600,1e-05,True,15.08,1531931492,74,0.0,165.0,call,1,3,2018-07-26 17:00:00
11,14.5,14.14,0.0,REGULAR,QQQ180727C00165500,USD,1532649600,0.539067109375,True,11.53,1531540490,1,0.0,165.5,call,1,3,2018-07-26 17:00:00
12,13.15,12.8,0.0,REGULAR,QQQ180727C00166000,USD,1532649600,1e-05,True,14.06,1531928573,47,0.0,166.0,call,1,3,2018-07-26 17:00:00
13,12.64,12.3,0.0,REGULAR,QQQ180727C00166500,USD,1532649600,1e-05,True,12.71,1532008713,7,0.0,166.5,call,1,3,2018-07-26 17:00:00
14,12.14,11.8,-0.47000027,REGULAR,QQQ180727C00167000,USD,1532649600,1e-05,True,13.16,1532100527,40,-3.4482777000000002,167.0,call,5,3,2018-07-26 17:00:00
15,11.04,10.41,7.06,REGULAR,QQQ180727C00167500,USD,1532649600,1e-05,True,7.06,1530818093,13,100.0,167.5,call,12,3,2018-07-26 17:00:00
16,11.15,10.82,0.10999966,REGULAR,QQQ180727C00168000,USD,1532649600,1e-05,True,11.21,1532113934,316,0.9909878400000001,168.0,call,81,3,2018-07-26 17:00:00
